feature,selected,mean,std,skew,kurt,q1,q2,q3,min,max,nulls
feature_hft_book_pressure_l0,True,-0.052832573652267456,1.0016825199127197,-0.09524109214544296,-1.2034832239151,-0.9205203503370285,-0.05966455116868019,0.862692192196846,-2.124875068664551,1.6668245792388916,0
feature_hft_book_pressure_l1,False,-0.02788919024169445,0.9980073571205139,-0.12597787380218506,-0.9929173588752747,-0.7949293553829193,-0.016784895211458206,0.7950500696897507,-2.3311567306518555,1.8653875589370728,0
feature_hft_book_pressure_l2,False,-0.0033195456489920616,1.0036523342132568,-0.13392554223537445,-0.8361700177192688,-0.7481382638216019,0.0013833876000717282,0.7943070083856583,-2.3794801235198975,2.1047794818878174,0
feature_hft_order_book_imbalance_3l,True,0.0015604111831635237,0.9716808199882507,-0.11435507237911224,-0.5712151527404785,-0.6973470598459244,0.012132395058870316,0.7334786951541901,-2.7661986351013184,2.4844930171966553,0
feature_hft_order_count_imbalance_l0,True,-0.005047370679676533,0.9605579376220703,-0.025465790182352066,-0.6506208777427673,-0.7020394951105118,-0.08207302540540695,0.8849269300699234,-2.5992913246154785,2.492898464202881,0
feature_hft_microprice,True,-0.4773372411727905,1.2473456859588623,-0.3052346110343933,-0.6149264574050903,-1.26687490940094,-0.40092262625694275,0.4924815446138382,-3.7873406410217285,2.18391752243042,0
feature_hft_microprice_divergence,True,-0.05553740635514259,0.73323655128479,-0.02040174975991249,0.5475296974182129,-0.5342411249876022,-0.0840330496430397,0.4131736606359482,-4.7804059982299805,3.4761712551116943,0
feature_hft_vwmp_skew,False,0.0008191978558897972,0.9173428416252136,-0.3708430528640747,10.95506763458252,-0.4976475238800049,-0.009552530013024807,0.5001580715179443,-11.693092346191406,11.469477653503418,0
feature_hft_price_vamp,False,-0.47453033924102783,1.2543714046478271,-0.29940512776374817,-0.6180633306503296,-1.2734215259552002,-0.4177020341157913,0.48922713845968246,-3.741997480392456,2.185331344604492,0
feature_hft_spread_bps,False,-0.4095322787761688,0.7355489134788513,1.098939299583435,3.215498924255371,-0.945437029004097,-0.5087791681289673,0.015968662686645985,-1.776593804359436,5.562750339508057,0
feature_hft_spread_ratio_50,False,-0.001076432061381638,0.9296473264694214,1.0532704591751099,4.153587341308594,-0.5934075713157654,-0.08569402992725372,0.49468833208084106,-2.470374822616577,11.354575157165527,0
feature_hft_bid_convexity,False,0.003432186786085367,0.5738053917884827,0.3024848401546478,22.221323013305664,-0.054741956293582916,-0.045518580824136734,0.1831236146390438,-6.308330059051514,6.1121649742126465,0
feature_hft_ask_convexity,False,0.014529655687510967,0.5840727686882019,-0.17543862760066986,7.609097480773926,-0.2087910734117031,0.09090077877044678,0.09614663943648338,-4.100773334503174,4.088778495788574,0
feature_hft_bid_slope,True,-0.0032225155737251043,0.01027065608650446,3.187281847000122,19.24663734436035,-0.008841749047860503,-0.006033850368112326,-0.0005732913850806653,-0.02015545591711998,0.20530706644058228,0
feature_hft_ask_slope,True,-0.002404292579740286,0.011551273986697197,4.964284420013428,60.16745376586914,-0.009148811688646674,-0.005629714811220765,0.0008014341146918014,-0.017168650403618813,0.24905861914157867,0
feature_hft_depth_ratio,False,-0.1721869707107544,0.747062623500824,4.17319393157959,32.94053268432617,-0.5842511504888535,-0.363998144865036,-0.0219392329454422,-0.9259223937988281,11.17241096496582,0
feature_hft_ofi,True,-0.020955167710781097,0.6680896878242493,-6.575364589691162,462.5020751953125,-0.03811591677367687,-0.006595113780349493,0.0030927915940992534,-44.28771209716797,17.70704460144043,0
feature_hft_ofi_rolling_50,True,-0.09664522111415863,0.6784573197364807,-0.3717866837978363,8.612548828125,-0.4602283090353012,-0.07252078130841255,0.28671324253082275,-6.144750595092773,6.220276832580566,0
feature_hft_ofi_multilevel_3l,False,-0.018931522965431213,0.6234847903251648,-1.5828975439071655,54.0282096862793,-0.1617928445339203,-0.007225544657558203,0.1157568208873272,-18.228174209594727,8.973483085632324,0
feature_hft_ofi_autocorrelation_50,False,-0.049473416060209274,0.9768210649490356,0.06833122670650482,0.6216799020767212,-0.653853639960289,-0.10553675144910812,0.5687388181686401,-4.455610752105713,4.46793794631958,0
